datetime,bp,co,no,no2,nox,out_rh,out_t,pm25t,uvpm
2016-10-14T00:00:00,737,0.5896,19.8,12.6,32.5,75.1,9.9,8,1681
2018-01-12T00:00:00,722.4,0.3557,4.6,11.2,15.8,94.1,8.7,3,530
2017-12-22T00:00:00,728.3,0.2826,1.7,11.1,13,71.6,10.7,11,1160
2019-06-26T00:00:00,731.9,0.5321,2.4,11.3,13.8,63.5,25.2,7,1261
2016-05-07T00:00:00,721.2,0.5151,3.6,10.6,14.3,70.6,15.3,14,1244
2020-03-17T00:00:00,732.6,0.4363,7.8,9.9,17.8,83.9,6.9,9,893
2019-10-04T00:00:00,733.5,0.4942,7.7,6.1,13.9,69.8,15.5,3,634
2017-11-10T00:00:00,738.2,0.4646,7.2,7.6,14.8,56.2,-1.1,3,536
2017-06-03T00:00:00,730.1,0.7689,3.9,11.7,15.7,49.3,21.6,13,1540
2017-10-08T00:00:00,727,0.2771,1.3,5,6.3,84.4,20.9,6,554
2016-09-25T00:00:00,732.5,0.3936,3.2,6.5,9.7,61.8,17.9,5,716
2019-02-25T00:00:00,731.9,0.3098,4.6,6.7,11.4,42.3,-0.7,5,409
2017-04-06T00:00:00,714.4,0.256,3.2,6.7,10,83,10.2,3,477
2018-07-08T00:00:00,736.3,0.2817,0.6,3.4,4.1,55,22.7,6,521
2017-05-26T00:00:00,724.5,0.4933,6.7,10.3,17.1,81.8,16.4,6,1010
2018-03-16T00:00:00,728.7,0.4891,7.8,9.4,17.4,56.4,-0.6,6,617
2017-12-09T00:00:00,724.6,0.4084,6.1,13.1,19.3,59.4,-1,10,966
2018-11-25T00:00:00,724.8,0.4266,3.5,9.2,12.8,79.8,9.5,13,822
2019-04-17T00:00:00,727.9,0.3364,3.6,11.4,15.2,50.3,18.8,13,1366
2018-01-05T00:00:00,731.7,0.3254,7.8,10.9,18.9,59.2,-14.6,6,521
2019-10-30T00:00:00,730.6,0.4439,10.3,10.5,20.9,87.1,14.5,11,1418
2019-02-15T00:00:00,721.2,0.3088,3.4,7.5,10.7,51.9,7.9,8,494
2019-05-10T00:00:00,728.3,0.3969,4.1,7.9,12.2,81.4,18.1,9,807
2017-03-04T00:00:00,742.6,0.5422,5.6,10.9,16.6,53,-2.5,7,789
2017-06-04T00:00:00,727,0.517,1.5,9.5,11.1,73,19.7,19,1918
2017-04-28T00:00:00,729.4,0.4603,6.2,10.1,16.4,66.8,16.3,8,1080
2020-03-30T00:00:00,727.3,0.2334,2.6,5.4,8.1,59.9,10,3,292
2019-01-09T00:00:00,725.6,0.293,5.8,7.2,13.1,73.6,-0.1,5,414
2016-12-03T00:00:00,735.2,0.4846,5.8,9.7,15.7,74.6,2.7,7,658
2017-12-12T00:00:00,721,0.2852,6,9.9,16,74.6,-2.1,8,805
2020-02-11T00:00:00,728.2,0.4953,8.9,12.7,21.7,90.2,3.2,10,876
2017-08-25T00:00:00,733.7,0.6644,12.8,11.1,24,75.3,17.5,10,1521
2016-04-08T00:00:00,721.1,0.3381,6.6,8.4,15.2,65.8,3.3,5,571
2017-12-18T00:00:00,729.4,0.2671,2.1,12.8,14.9,85.8,5,11,1036
2016-08-25T00:00:00,730.4,0.3112,2,7.5,9.4,73.9,26.6,12,1053
2019-01-26T00:00:00,731.3,0.3701,1.4,10.1,11.5,78,-5.5,9,776
2017-01-30T00:00:00,725.5,0.3637,8.4,12.1,20.5,70,-3,8,804
2016-02-06T00:00:00,734.3,0.6419,4,16,20,53.4,1.5,13,1363
2017-03-26T00:00:00,730.5,0.188,0.4,3.9,4.4,74.9,14.7,15,1039
2020-01-28T00:00:00,727.6,0.4318,9,11.8,20.9,87,1.2,8,700
2018-10-04T00:00:00,729.6,0.4615,4.3,8.3,12.7,88.7,20.7,11,1081
2018-12-10T00:00:00,732.7,0.4929,13.2,17.3,30.7,79.3,-3.8,18,1570
2020-03-07T00:00:00,737.7,0.4837,3.4,8,11.5,62.5,2.8,6,689
2019-01-20T00:00:00,723.2,0.244,1.8,4.4,6.2,77.6,-6.5,3,280
2016-08-03T00:00:00,731,0.2167,1,5.1,6.1,68.7,25.6,10,780
2016-05-04T00:00:00,720.6,0.402,5.6,13.1,18.9,73.7,12.8,10,1287
2018-11-21T00:00:00,732.9,0.3686,7.7,9.5,17.3,74.1,0.9,13,656
2016-08-20T00:00:00,726.1,0.6906,2.1,9.6,8.5,75.4,25.5,16,1780
2018-04-15T00:00:00,723.1,0.2179,0.9,4,5,68.8,15.9,8,572
2018-06-10T00:00:00,727.4,0.4597,3,7.8,10.8,86.5,20.9,14,1084
2019-02-04T00:00:00,727.7,0.8403,5.2,20.3,25.6,66.5,10.6,23,2014
2016-04-05T00:00:00,736.1,0.4217,8.4,10.8,19.3,52.9,0.6,8,717
2018-02-06T00:00:00,735.9,0.4879,10.3,16.4,26.7,73.2,-2.7,14,1198
2019-11-30T00:00:00,727.6,0.4466,4.9,9.4,14.1,68.8,4.3,11,1127
2017-10-05T00:00:00,733.5,0.3478,2.5,13,15.3,82.4,19.1,12,1494
2017-09-22T00:00:00,731.7,0.7524,12.8,14.7,27.6,65.8,23.1,11,1933
2020-03-02T00:00:00,724,0.4259,0.5,9.7,10.2,64.4,9.6,14,1562
2017-03-16T00:00:00,733.4,0.4895,9.5,14,23.6,58.7,-1.5,10,986
2016-10-23T00:00:00,728.2,0.3002,2.2,6,8.3,64.2,12.8,7,792
2019-08-02T00:00:00,731.3,0.5764,6,9.2,15.3,79.5,22.9,10,1381
2017-09-30T00:00:00,736.5,0.4908,3.5,4.8,8.4,67.2,13,4,705
2019-08-21T00:00:00,728,0.4372,2.1,8.4,10.5,77.6,24.5,9,879
2017-02-20T00:00:00,734.2,0.7157,15,17.9,33.1,65.9,10.2,23,2435
2019-11-29T00:00:00,734.8,0.6305,8.8,8.7,17.6,75.9,2.5,5,797
2016-12-27T00:00:00,728.9,0.3648,7,8.1,15.1,63.4,8.3,4,667
2016-01-10T00:00:00,718.3,0.2277,1.7,4.7,6.5,84.3,3.4,1,178
2019-05-07T00:00:00,731.5,0.6335,6.1,14.3,20.5,62.4,18.9,19,1889
2020-02-10T00:00:00,728.8,0.3023,2.9,8.7,11.8,93.8,6.6,3,609
2017-08-19T00:00:00,727.9,0.5075,2.5,8.5,11.1,80.6,21.3,12,1261
2017-03-05T00:00:00,740.8,0.2844,1.8,6,7.9,45.5,0.6,6,630
2019-07-29T00:00:00,730.1,0.5325,1.8,9.3,11.2,66.8,26.2,20,1609
2017-01-27T00:00:00,723.9,0.3177,7.9,8.6,16.6,76.1,-0.3,5,554
2019-11-04T00:00:00,731.6,0.4158,2,11.8,13.9,56.2,8.1,8,1195
2016-03-01T00:00:00,722.9,0.2578,2.9,9.8,12.8,60.9,9.4,8,804
2016-02-16T00:00:00,720.8,0.3943,11.7,16.3,28.2,92.5,0.9,11,1091
2016-09-24T00:00:00,732.5,0.6347,7.4,7.9,15.4,71.4,20.4,9,1246
2018-07-25T00:00:00,727.2,0.5188,6.6,10.7,17.4,79.4,24.1,11,1730
2019-08-29T00:00:00,729.2,0.4762,8.4,10.3,18.8,61.1,20.9,7,998
2018-09-07T00:00:00,732.5,0.6596,9.9,9.5,19.5,76.4,24.7,7,1306
2018-01-17T00:00:00,738.5,0.39,9.1,15.5,24.7,75,-11.6,22,1111
2019-07-05T00:00:00,731.9,0.397,2.1,8.1,10,83.3,24.9,18,1610
2018-11-03T00:00:00,730,0.5504,6.6,9.5,16.2,80.9,6.1,7,811
2017-07-13T00:00:00,730.5,0.2686,1.7,6.4,8.1,80.8,24.3,11,928
2018-01-31T00:00:00,729.7,0.4472,4.4,16.2,20.6,57.4,-2,12,1224
2019-07-06T00:00:00,729.7,0.5071,1.6,8.1,9.8,83.3,24.8,12,1484
